Close,Predicted_Close
17356.38728476894,-332611.73183808196
17282.290372238098,-341710.8057229733
17022.50616363053,-371521.7789858496
16746.725304756616,-381906.756221476
16237.899781077593,-390053.7671965109
15803.378966284883,-388650.456920634
15576.943333376405,-370537.1337629957
15475.759323296867,-373812.3805881692
15458.5287664218,-387452.86038947944
15633.783944101002,-407922.01168444473
16048.804990269373,-426207.2732413942
16108.882077036063,-465548.97775080334
16465.096721654063,-448167.1453097211
16595.609456369766,-454571.2244434105
16748.192751710467,-469643.1067648018
16411.4576471531,-479029.1554322792
16147.079849489339,-479491.64264605846
15756.358117626307,-486183.2235573204
15624.800883824293,-490347.9130352428
15403.523384960985,-479562.2509805737
15384.35462098049,-490740.04495484475
15464.393040694313,-480214.3356794743
15622.746825470114,-481721.6532147126
15527.756253634754,-469252.7212710874
15646.755593200547,-465285.5492677288
15892.069443514602,-470716.37957362924
16169.262583784777,-476304.2361437017
16259.826906733511,-489627.2446377026
16411.67463933737,-506379.6931364788
16609.487686895525,-476108.1561580254
16747.92794912519,-464893.92427355517
16530.1075941835,-438939.8808531007
16584.612793924793,-463972.67848788854
16502.59754876726,-458559.6203807732
16432.60507630797,-462134.6274698777
16388.278226996918,-438500.50773390103
16627.27359387228,-424832.12460507546
16630.136771236987,-419247.4545157263
16781.298591235656,-450137.6184593709
16778.71860528927,-471604.3261372661
16573.307194188816,-495750.13842017483
16520.50666214937,-490233.68659252767
16551.039871826313,-501516.82002036925
16379.738344092992,-481585.347723878
16197.50819287939,-473065.76860270556
16276.16375558947,-483069.56465800945
16433.443618769514,-509309.65864456166
16466.179838137123,-500301.20356340054
16598.022103088108,-502892.7530906638
16803.75348327297,-506573.96232191194
17112.741321666108,-496156.1043485487
17189.429253819755,-532732.2132088495
17371.81203394818,-544542.9911199445
17601.693778043344,-538191.1250289669
17813.451257244345,-507402.06823016424
17844.9921874,-495642.90149898175
17806.82199772551,-474798.377377755
17564.529470999954,-474550.7508670995
17423.865969574363,-462205.7666505473
17273.89943878765,-444796.2398907365
17014.92435013211,-453860.75764499325
16834.481616839777,-453578.0845621815
16806.612984000883,-427796.67146988306
16724.963681422596,-443124.2014831072
16517.32167596963,-440519.44927612226
16365.530949595557,-474895.2691617245
16107.7254042793,-466433.4862173004
15874.32215299306,-459193.9010727601
15802.88981730025,-451801.2032136442
15928.854936454669,-457885.79308236483
15975.34617900119,-436863.8233280508
15998.525600098897,-435384.86233784724
16130.754036192859,-404468.29413824435
16069.87518557226,-379101.196072652
16141.873905043194,-386131.7721115714
16252.134759295313,-410461.3466458274
16561.527157664474,-392186.36502129864
16787.105859278396,-421452.34438545536
16815.66224351162,-418302.6762837479
16603.367803983503,-433979.58243290987
16538.149134157058,-429311.4515169533
16045.329455631678,-451409.4054554412
15551.445051339273,-459352.358277685
15355.458038157636,-477656.494666026
15204.579409577243,-491572.69879832957
14956.865785010437,-489288.97795146797
15126.867205959454,-475687.1797121251
15028.86450448137,-453859.24564558547
14831.812764591225,-444197.5902898507
14860.341565104143,-433091.3970196927
15137.24231906872,-415908.64860609267
15397.732667903674,-386814.59701084625
15901.210650015113,-388285.59642540757
16439.412709672804,-402156.41895217355
16746.385107108505,-400499.0880960198
16861.938334546063,-394955.22949652094
16735.50061645092,-369691.10679333936
16548.01486877648,-365442.7194312131
16182.394216014203,-364368.0882269135
15694.762094043419,-359668.7996352827
15073.527873862213,-371062.3101303959
14801.410117417761,-366362.15185785387
14707.589090804735,-358623.5032141963
14720.827381278668,-356524.41080871876
