Close,Predicted_Close
9144.795898200002,9200.715
9054.9378904,9068.484
8868.673827999999,8979.02
8697.351953000001,8883.512
8725.2439452,8728.537
8635.943945199999,8619.906
8516.551952999998,8577.824
8462.709960799999,8505.42
8405.633886599999,8416.727
8149.041894399999,8299.426
8058.863964799999,8098.2046
8092.8258788,7950.639
8103.7698242000015,7989.1753
8249.6359376,8120.4307
8504.9859376,8286.7295
8525.519922,8466.086
8520.659961199999,8497.696
8543.1041018,8456.461
8473.030078200001,8446.886
8434.306054800001,8440.488
8591.324023600002,8456.399
8645.7720704,8554.679
8679.7179688,8653.899
8717.4878908,8710.491
8716.339844,8704.35
8642.409961000001,8671.8
8688.971875,8632.354
8701.5558594,8662.076
8709.5359374,8726.305
8699.422070199998,8725.364
8690.4541016,8674.302
8589.524218800001,8632.071
8518.352343800001,8564.579
8500.464258,8497.495
8481.428125200002,8466.161
8511.1679688,8451.117
8582.5478516,8485.881
8695.789843800001,8565.761
8783.257812400001,8690.955
8889.491796600001,8802.81
8909.753906000002,8890.074
8902.9679686,8888.9375
8815.8658202,8843.798
8720.081836000001,8756.718
8606.773828200001,8646.782
8492.8617188,8551.379
8386.8677734,8437.687
8323.2757812,8319.264
8218.2998046,8256.08
8174.207812400002,8175.3325
8158.739843799999,8140.139
8131.753808799999,8122.988
8098.715820400002,8106.16
8143.843847599999,8099.6704
8173.3139648000015,8119.9243
8178.555957,8184.648
8163.215917799997,8205.262
8127.3599608,8157.327
8108.085937400001,8082.9497
8024.3279296,8050.198
8007.1399412,8022.2373
8063.085937399999,8017.5293
8129.9099608,8079.829
8092.013964800002,8162.038
8088.5878906,8126.2397
8062.525879,8073.1274
7976.4899414,7998.0835
7832.835937600002,7939.3813
7766.1859376,7835.4434
7671.4700196,7729.198
7558.052050799999,7620.0938
7410.9259766,7488.1587
7370.5939452,7370.066
7313.645996,7315.0605
7256.871972600001,7281.9062
7196.3240233999995,7260.201
7126.026074200001,7181.807
7001.04209,7049.91
6922.0320314,6919.9033
6804.504003999999,6869.1606
6717.305957,6815.303
6674.0579102,6755.8965
6714.151952999999,6685.9106
6725.063964599999,6699.981
6840.1879881999985,6777.927
6959.595995999999,6910.06
7093.580078000002,7045.5913
7187.4220702,7151.705
7298.658105400001,7253.443
7344.8060546,7345.43
