Model,Noise Level,MSE,RMSE,MAE,R²,MAPE,Direction Accuracy,MaxAPE
3-layer GRU,0.01,150671.68813090687,388.16451168403694,336.2392518602671,0.9846754306591065,2.26927248131218,0.7998960498960499,4.386379557010789
3-layer GRU,0.05,30660.22797972479,175.10062244242533,161.91639165302848,0.996881598958367,1.1528408275850273,0.7926195426195426,2.2521571229310173
3-layer GRU,0.1,24434.07839238409,156.3140377329691,130.14567547334664,0.9975148480478132,0.8768239669706069,0.8082120582120582,2.2041642655853844
