Model,Noise Level,MSE,RMSE,MAE,R²,MAPE,Direction Accuracy,MaxAPE
LSTM,0.01,3259.7099661734915,57.093869777529456,47.816833599878784,0.9996684603007554,0.3738443027345623,0.8139293139293139,2.649544714416106
LSTM,0.05,8124.86072320456,90.1380093146313,72.5773912526631,0.9991736339920444,0.5025751140682931,0.8113305613305614,1.7712048051094424
LSTM,0.1,16859.15444957133,129.84280669167364,108.82245660786094,0.9982852803662275,0.7530341607658861,0.8019750519750519,2.350642052444177
